TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
2,species,ostric2,avibase-2247CB05,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Ostriches,
7,species,ostric3,avibase-40329BB6,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),Ostriches,
8,slash,y00934,avibase-5D14080C,Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthioniformes,Struthionidae (Ostriches),Ostriches,
10,species,grerhe1,avibase-00986B24,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rheas,
16,species,lesrhe2,avibase-590ADF92,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),Rheas,
17,issf,lesrhe4,avibase-499B75D1,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rheiformes,Rheidae (Rheas),Rheas,lesrhe2
20,issf,lesrhe3,avibase-BA52A675,Lesser Rhea (Darwin's),Rhea pennata pennata,Rheiformes,Rheidae (Rheas),Rheas,lesrhe2
22,species,tabtin1,avibase-5FB99321,Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),Tinamous,
23,species,higtin1,avibase-66C31E09,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),Tinamous,
24,issf,higtin2,avibase-7A906705,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,higtin1
29,issf,higtin3,avibase-E1140648,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Tinamiformes,Tinamidae (Tinamous),Tinamous,higtin1
30,species,hootin1,avibase-68E763AE,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
33,species,grytin1,avibase-346D16D5,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),Tinamous,
38,species,soltin1,avibase-67E5E0FA,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),Tinamous,
39,species,blatin1,avibase-63C5F122,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
42,species,gretin1,avibase-42D72AE1,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),Tinamous,
55,species,whttin1,avibase-0480B7C9,White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
56,spuh,tinamu1,avibase-678BBDA9,Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
57,species,cintin1,avibase-7C90F8DB,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
58,species,bertin1,avibase-9B036853,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
