TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME
2,species,ostric2,Common Ostrich,Struthio camelus
7,species,ostric3,Somali Ostrich,Struthio molybdophanes
8,slash,y00934,Common/Somali Ostrich,Struthio camelus/molybdophanes
10,species,soucas1,Southern Cassowary,Casuarius casuarius
11,species,dwacas1,Dwarf Cassowary,Casuarius bennetti
14,species,norcas1,Northern Cassowary,Casuarius unappendiculatus
15,species,emu1,Emu,Dromaius novaehollandiae
21,species,sobkiw1,Southern Brown Kiwi,Apteryx australis
22,issf,sobkiw2,Southern Brown Kiwi (South I.),Apteryx australis australis
23,issf,sobkiw3,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi
24,species,okbkiw1,Okarito Brown Kiwi,Apteryx rowi
25,species,nibkiw1,North Island Brown Kiwi,Apteryx mantelli
26,hybrid,x01217,Southern Brown x North Island Brown Kiwi (hybrid),Apteryx australis x mantelli
27,species,liskiw1,Little Spotted Kiwi,Apteryx owenii
28,hybrid,x01059,Okarito Brown x Little Spotted Kiwi (hybrid),Apteryx rowi x owenii
29,species,grskiw1,Great Spotted Kiwi,Apteryx maxima
30,spuh,kiwi1,kiwi sp.,Apteryx sp.
32,species,grerhe1,Greater Rhea,Rhea americana
38,species,lesrhe2,Lesser Rhea,Rhea pennata
39,issf,lesrhe4,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
42,issf,lesrhe3,Lesser Rhea (Darwin's),Rhea pennata pennata
44,species,puntin1,Puna Tinamou,Tinamotis pentlandii
45,species,pattin1,Patagonian Tinamou,Tinamotis ingoufi
46,species,quctin1,Quebracho Crested-Tinamou,Eudromia formosa
49,species,elctin1,Elegant Crested-Tinamou,Eudromia elegans
50,issf,elecrt11,Elegant Crested-Tinamou (Northern),Eudromia elegans [intermedia Group]
54,issf,elecrt12,Elegant Crested-Tinamou (Southern),Eudromia elegans [elegans Group]
62,species,dwatin1,Dwarf Tinamou,Taoniscus nanus
63,species,whbnot1,White-bellied Nothura,Nothura boraquira
64,species,lesnot1,Lesser Nothura,Nothura minor
65,species,darnot1,Darwin's Nothura,Nothura darwinii
71,species,sponot1,Spotted Nothura,Nothura maculosa
81,slash,y01225,White-bellied/Spotted Nothura,Nothura boraquira/maculosa
82,slash,y01226,Lesser/Spotted Nothura,Nothura minor/maculosa
83,slash,y01375,Darwin's/Spotted Nothura,Nothura darwinii/maculosa
84,species,huatin1,Huayco Tinamou,Rhynchotus maculicollis
85,species,rewtin1,Red-winged Tinamou,Rhynchotus rufescens
89,species,brutin1,Brushland Tinamou,Nothoprocta cinerascens
92,species,andtin1,Andean Tinamou,Nothoprocta pentlandii
93,issf,andtin10,Andean Tinamou (Northern),Nothoprocta pentlandii [oustaleti Group]
97,issf,andtin11,Andean Tinamou (Southern),Nothoprocta pentlandii [pentlandii Group]
103,species,cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris
106,species,orntin1,Ornate Tinamou,Nothoprocta ornata
110,species,tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii
111,species,chitin1,Chilean Tinamou,Nothoprocta perdicaria
114,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.
115,species,tabtin1,Tawny-breasted Tinamou,Nothocercus julius
116,species,hootin1,Hooded Tinamou,Nothocercus nigrocapillus
119,species,higtin1,Highland Tinamou,Nothocercus bonapartei
120,issf,higtin3,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
121,issf,higtin2,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
126,species,gretin1,Great Tinamou,Tinamus major
139,species,soltin1,Solitary Tinamou,Tinamus solitarius
140,species,grytin1,Gray Tinamou,Tinamus tao
145,species,whttin1,White-throated Tinamou,Tinamus guttatus
146,species,blatin1,Black Tinamou,Tinamus osgoodi
147,issf,blktin1,Black Tinamou (Colombian),Tinamus osgoodi hershkovitzi
148,issf,blktin2,Black Tinamou (Peruvian),Tinamus osgoodi osgoodi
149,spuh,tinamu1,Tinamus sp.,Tinamus sp.
150,species,bertin1,Berlepsch's Tinamou,Crypturellus berlepschi
151,species,cintin1,Cinereous Tinamou,Crypturellus cinereus
152,species,teptin1,Tepui Tinamou,Crypturellus ptaritepui
153,species,smbtin1,Small-billed Tinamou,Crypturellus parvirostris
154,species,tattin1,Tataupa Tinamou,Crypturellus tataupa
159,species,brotin1,Brown Tinamou,Crypturellus obsoletus
160,issf,brntin11,Brown Tinamou (Venezuelan),Crypturellus obsoletus cerviniventris/knoxi
163,issf,brntin1,Brown Tinamou (Ecuadorian),Crypturellus obsoletus castaneus
164,issf,brntin2,Brown Tinamou (Andean),Crypturellus obsoletus [punensis Group]
168,issf,brntin8,Brown Tinamou (Amazonian),Crypturellus obsoletus griseiventris
169,issf,brntin10,Brown Tinamou (Atlantic),Crypturellus obsoletus obsoletus
170,species,vartin1,Variegated Tinamou,Crypturellus variegatus
171,species,bartin2,Bartlett's Tinamou,Crypturellus bartletti
172,species,bartin1,Barred Tinamou,Crypturellus casiquiare
173,species,rustin1,Rusty Tinamou,Crypturellus brevirostris
174,species,littin1,Little Tinamou,Crypturellus soui
189,species,undtin1,Undulated Tinamou,Crypturellus undulatus
196,species,yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus
197,issf,yeltin2,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
198,issf,yeltin3,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
199,species,blctin1,Black-capped Tinamou,Crypturellus atrocapillus
202,species,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus
203,species,thitin1,Thicket Tinamou,Crypturellus cinnamomeus
204,issf,thitin2,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
205,issf,thitin3,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
214,species,slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi
217,species,chotin1,Choco Tinamou,Crypturellus kerriae
218,species,reltin1,Red-legged Tinamou,Crypturellus erythropus
226,species,gyltin1,Gray-legged Tinamou,Crypturellus duidae
227,species,bratin1,Brazilian Tinamou,Crypturellus strigulosus
228,form,sddtin1,Serra do Divisor Tinamou (undescribed form),Crypturellus [undescribed form]
229,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.
230,spuh,tinamo1,tinamou sp.,Tinamidae sp.
232,species,horscr1,Horned Screamer,Anhima cornuta
233,species,souscr1,Southern Screamer,Chauna torquata
234,species,norscr1,Northern Screamer,Chauna chavaria
236,species,maggoo1,Magpie Goose,Anseranas semipalmata
238,species,spwduc1,Spotted Whistling-Duck,Dendrocygna guttata
239,species,plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni
240,species,wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata
241,hybrid,x00721,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata
242,hybrid,x01218,Plumed x White-faced Whistling-Duck (hybrid),Dendrocygna eytoni x viduata
243,species,bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis
244,issf,bkbwhd1,Black-bellied Whistling-Duck (Northern),Dendrocygna autumnalis fulgens
245,issf,bkbwhd2,Black-bellied Whistling-Duck (Southern),Dendrocygna autumnalis autumnalis
246,hybrid,x01141,White-faced x Black-bellied Whistling-Duck (hybrid),Dendrocygna viduata x autumnalis
247,species,wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea
248,hybrid,x00775,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea
249,species,fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor
250,hybrid,x00938,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor
251,hybrid,x00875,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor
252,species,wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata
256,hybrid,x00990,Plumed x Wandering Whistling-Duck (hybrid),Dendrocygna eytoni x arcuata
257,slash,y01227,Plumed/Wandering Whistling-Duck,Dendrocygna eytoni/arcuata
258,species,lewduc1,Lesser Whistling-Duck,Dendrocygna javanica
259,slash,y01080,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica
260,hybrid,x00360,Wandering x Lesser Whistling-Duck (hybrid),Dendrocygna arcuata x javanica
261,spuh,whistl1,whistling-duck sp.,Dendrocygna sp.
262,species,whbduc1,White-backed Duck,Thalassornis leuconotus
265,species,bahgoo,Bar-headed Goose,Anser indicus
266,species,empgoo,Emperor Goose,Anser canagicus
267,species,snogoo,Snow Goose,Anser caerulescens
270,hybrid,x00991,Bar-headed x Snow Goose (hybrid),Anser indicus x caerulescens
271,hybrid,x01176,Emperor x Snow Goose (hybrid),Anser canagicus x caerulescens
272,species,rosgoo,Ross's Goose,Anser rossii
273,hybrid,sxrgoo1,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii
274,slash,y00469,Snow/Ross's Goose,Anser caerulescens/rossii
275,species,gragoo,Graylag Goose,Anser anser
276,issf,gragoo2,Graylag Goose (European),Anser anser anser
277,issf,gragoo3,Graylag Goose (Siberian),Anser anser rubrirostris
278,domestic,gragoo1,Graylag Goose (Domestic type),Anser anser (Domestic type)
279,hybrid,x00992,Bar-headed x Graylag Goose (hybrid),Anser indicus x anser
280,hybrid,x01119,Emperor x Graylag Goose (hybrid),Anser canagicus x anser
281,species,swagoo1,Swan Goose,Anser cygnoides
